Rule,Type,IF (natural language),THEN (natural language),Propositional logic,Predicate logic (patient x)
R1,Standard,ML risk probability >= 0.35,elevated_cardiac_risk,HighRiskProb -> ElevatedCardiacRisk,∀x ( RiskProb(x) ≥ 0.35 → ElevatedCardiacRisk(x) )
R2,Standard,elevated_cardiac_risk AND chest_pain = asymptomatic,silent_ischemia_suspected AND urgent_cardiology_review,ElevatedCardiacRisk ∧ Asymptomatic → SilentIschemia ∧ UrgentCardiologyReview,"∀x ( ElevatedCardiacRisk(x) ∧ ChestPain(x, asymptomatic) → SilentIschemia(x) ∧ UrgentCardiologyReview(x) )"
R3,Standard,exercise_angina = true AND oldpeak > 1.0,inducible_ischemia AND recommend_cardiology,ExerciseAngina ∧ OldpeakGt1 → InducibleIschemia ∧ RecommendCardiology,∀x ( ExerciseAngina(x) ∧ Oldpeak(x) > 1.0 → InducibleIschemia(x) ∧ RecommendCardiology(x) )
R4,Standard,number_of_vessels (ca) >= 1,significant_vessel_disease AND recommend_admission,VesselsGe1 → SignificantVesselDisease ∧ RecommendAdmission,∀x ( CA(x) ≥ 1 → SignificantVesselDisease(x) ∧ RecommendAdmission(x) )
R5,Standard,thalassemia = reversible defect,reversible_perfusion_defect AND recommend_cardiology,ReversibleDefect → ReversiblePerfusionDefect ∧ RecommendCardiology,"∀x ( Thal(x, reversible_defect) → ReversiblePerfusionDefect(x) ∧ RecommendCardiology(x) )"
R6,Standard,resting_blood_pressure >= 180,hypertensive_urgency AND control_bp_first,BpGe180 → HypertensiveUrgency ∧ ControlBpFirst,∀x ( RestingBP(x) ≥ 180 → HypertensiveUrgency(x) ∧ ControlBpFirst(x) )
R7,Standard,age >= 65 AND elevated_cardiac_risk,high_priority_elderly,AgeGe65 ∧ ElevatedCardiacRisk → HighPriorityElderly,∀x ( Age(x) ≥ 65 ∧ ElevatedCardiacRisk(x) → HighPriorityElderly(x) )
R8,Safety override,kidney_function = impaired,renal_impairment AND avoid_contrast_angiography,KidneyImpaired → RenalImpairment ∧ AvoidContrastAngiography,"∀x ( KidneyFunction(x, impaired) → RenalImpairment(x) ∧ AvoidContrastAngiography(x) )"
R9,Safety override,on_anticoagulant = true AND (recommend_admission OR recommend_cardiology),bleeding_risk AND avoid_thrombolysis,OnAnticoagulant ∧ (RecommendAdmission ∨ RecommendCardiology) → BleedingRisk ∧ AvoidThrombolysis,∀x ( OnAnticoagulant(x) ∧ (RecommendAdmission(x) ∨ RecommendCardiology(x)) → BleedingRisk(x) ∧ AvoidThrombolysis(x) )
R10,Standard,NOT elevated_cardiac_risk AND ca = 0 AND oldpeak <= 1.0 AND exercise_angina = false,low_risk_profile AND safe_for_discharge,¬ElevatedCardiacRisk ∧ CaEq0 ∧ OldpeakLe1 ∧ ¬ExerciseAngina → LowRiskProfile ∧ SafeForDischarge,∀x ( ¬ElevatedCardiacRisk(x) ∧ CA(x) = 0 ∧ Oldpeak(x) ≤ 1.0 ∧ ¬ExerciseAngina(x) → LowRiskProfile(x) ∧ SafeForDischarge(x) )
R11,Standard,cholesterol >= 240,hyperlipidemia AND recommend_statin,CholGe240 → Hyperlipidemia ∧ RecommendStatin,∀x ( Chol(x) ≥ 240 → Hyperlipidemia(x) ∧ RecommendStatin(x) )
R12,Standard,fasting_blood_sugar > 120 (fbs = true),dysglycemia AND recommend_diabetes_workup,FbsTrue → Dysglycemia ∧ RecommendDiabetesWorkup,∀x ( FBS(x) = true → Dysglycemia(x) ∧ RecommendDiabetesWorkup(x) )
